sex,internetdailyhour,transport,vehicletype,monthlygrocerybill,frequencyoftravelingbyair,vehiclemonthlydistancekm,wastebagweeklycount,timespentonpc,carbonemission
female,9,public,,285,very frequently,1820,1,21,2269
male,5,public,,234,never,243,4,20,1918
female,2,public,,91,very frequently,1586,7,8,2477
female,16,walk/bicycle,,118,frequently,11,3,6,1444
female,16,walk/bicycle,,75,never,72,5,15,1254
male,10,public,,134,never,1157,5,19,1411
male,8,public,,282,never,1380,4,7,1605
male,18,private,lpg,110,never,5765,5,7,3054
female,14,walk/bicycle,,202,very frequently,92,6,9,2902
male,15,private,lpg,56,frequently,7797,7,22,4301
female,22,walk/bicycle,,223,very frequently,50,3,12,2308
female,2,private,petrol,202,frequently,7629,1,17,4132
male,23,private,petrol,114,frequently,2367,3,1,2993
female,1,private,petrol,141,frequently,3960,1,7,3098
female,10,walk/bicycle,,236,rarely,42,2,19,1364
female,14,private,lpg,95,rarely,6455,1,15,2941
female,4,walk/bicycle,,249,frequently,41,4,6,1349
female,16,walk/bicycle,,213,never,71,1,24,1038
male,15,walk/bicycle,,81,never,39,7,16,1815
female,24,walk/bicycle,,91,very frequently,50,1,13,2566
female,23,private,electric,291,very frequently,8707,3,2,2439
female,20,private,lpg,70,very frequently,167,2,9,2056
female,18,public,,89,very frequently,631,7,2,2299
male,18,public,,121,rarely,194,6,15,1492
female,17,walk/bicycle,,198,rarely,46,1,12,1692
male,3,walk/bicycle,,234,frequently,37,3,15,2581
male,1,walk/bicycle,,84,rarely,31,2,0,950
male,1,private,lpg,182,never,2880,5,10,1923
female,19,walk/bicycle,,275,never,6,2,19,1751
female,7,walk/bicycle,,228,very frequently,40,6,1,2562
male,24,walk/bicycle,,140,frequently,1,6,9,2456
female,1,public,,232,never,1341,1,22,657
female,9,public,,115,very frequently,393,3,21,1758
female,12,public,,157,frequently,191,4,2,2184
female,23,public,,156,very frequently,131,1,14,3009
male,20,private,diesel,252,very frequently,1419,5,8,3748
female,16,private,electric,162,rarely,9159,7,2,1122
male,16,private,hybrid,145,never,8016,3,21,2810
female,23,walk/bicycle,,214,never,87,3,24,1346
female,12,walk/bicycle,,126,rarely,3,5,15,671
female,16,walk/bicycle,,91,frequently,13,1,19,1695
female,19,walk/bicycle,,205,never,74,3,6,810
female,4,private,hybrid,285,frequently,7743,3,1,2768
female,13,public,,178,never,993,7,11,1033
female,6,public,,236,rarely,1997,4,6,2046
female,22,private,electric,286,rarely,2721,6,23,2171
female,4,walk/bicycle,,108,rarely,5,7,21,1312
male,18,public,,76,rarely,941,1,24,1209
male,9,private,diesel,270,frequently,8815,2,7,4017
female,10,private,electric,146,rarely,3276,1,13,877
male,20,private,hybrid,221,never,3309,5,8,1856
male,12,private,hybrid,230,never,2623,2,20,2197
female,18,private,diesel,295,very frequently,7915,1,15,4281
male,24,private,lpg,177,frequently,8897,3,17,3480
female,7,walk/bicycle,,189,never,19,1,22,953
male,21,private,electric,174,frequently,3662,2,9,2046
male,5,private,petrol,193,never,611,6,12,2521
male,3,public,,238,very frequently,1431,6,1,3551
male,11,public,,101,never,1978,3,14,1459
male,18,walk/bicycle,,99,very frequently,92,2,8,2492
male,16,walk/bicycle,,50,frequently,82,1,10,2411
female,20,public,,71,very frequently,1851,7,15,2761
female,9,public,,232,rarely,1224,3,7,1500
male,5,private,electric,247,never,8219,5,18,1708
female,7,public,,222,never,1390,4,19,1717
male,14,public,,61,frequently,434,1,23,2135
male,20,private,hybrid,137,never,7460,6,5,2042
female,18,walk/bicycle,,157,rarely,15,1,20,1221
male,2,private,diesel,174,very frequently,4686,2,0,3473
female,21,walk/bicycle,,214,never,88,5,12,1378
female,2,walk/bicycle,,214,very frequently,40,2,21,2135
male,20,walk/bicycle,,66,never,56,6,11,1464
female,22,walk/bicycle,,123,very frequently,14,6,22,2816
male,11,public,,105,very frequently,108,1,17,2210
female,17,private,electric,125,never,5168,3,1,1552
male,18,private,petrol,280,frequently,672,3,24,2406
female,22,walk/bicycle,,238,very frequently,94,3,17,3004
female,10,private,petrol,270,rarely,3114,3,14,2540
female,5,private,lpg,80,rarely,7134,2,5,2424
female,20,private,diesel,276,rarely,8609,6,6,4000
female,10,public,,210,never,852,1,16,1288
male,14,public,,270,rarely,1673,6,16,2317
female,15,public,,152,very frequently,1564,7,9,2730
female,22,walk/bicycle,,247,rarely,74,7,3,1371
female,21,private,petrol,145,rarely,2885,4,3,2349
male,0,private,petrol,260,rarely,8130,7,7,4536
female,17,public,,283,very frequently,228,3,2,2987
female,7,public,,277,never,1162,4,1,1039
male,12,public,,203,never,71,2,10,1036
female,0,private,diesel,213,frequently,6337,4,13,3620
male,2,public,,135,rarely,1649,4,8,1009
female,19,private,diesel,96,very frequently,6159,2,6,2895
male,21,private,diesel,162,never,9884,1,21,4294
male,7,private,hybrid,233,frequently,4060,7,13,3429
female,9,walk/bicycle,,262,rarely,68,7,11,1334
male,16,walk/bicycle,,176,very frequently,5,7,13,3697
female,18,public,,176,rarely,702,4,7,1494
male,17,walk/bicycle,,147,very frequently,2,4,1,2779
female,1,walk/bicycle,,83,rarely,42,1,7,993
female,0,public,,205,never,274,5,20,1944
female,1,public,,125,frequently,590,3,1,1474
male,22,private,diesel,145,frequently,84,1,1,1880
female,17,private,diesel,236,frequently,6908,3,15,3535
female,17,walk/bicycle,,101,rarely,52,7,17,1644
female,3,private,lpg,77,frequently,121,2,2,1268
male,19,walk/bicycle,,241,rarely,30,7,19,1529
male,20,public,,124,rarely,1336,4,10,2076
male,10,walk/bicycle,,82,never,89,4,5,1850
male,19,public,,262,never,1412,6,10,1000
male,13,walk/bicycle,,254,never,4,3,6,1485
female,2,public,,76,rarely,1924,1,14,1139
female,14,walk/bicycle,,207,never,64,2,8,682
male,11,private,electric,234,never,8659,1,8,926
female,23,walk/bicycle,,93,rarely,82,1,17,1037
female,0,walk/bicycle,,76,very frequently,31,4,1,1467
male,0,private,electric,67,rarely,5230,3,5,914
female,20,public,,101,frequently,450,4,22,1741
male,13,public,,73,very frequently,441,2,19,2742
female,19,private,lpg,280,rarely,6160,2,1,2988
female,4,walk/bicycle,,85,frequently,35,4,20,2160
male,24,walk/bicycle,,256,frequently,57,6,5,3098
male,7,walk/bicycle,,193,very frequently,7,3,10,2764
male,5,private,hybrid,145,frequently,5469,4,16,2335
female,7,walk/bicycle,,282,frequently,6,3,12,1462
male,11,public,,133,frequently,21,3,5,2356
male,16,public,,232,rarely,1127,1,19,1731
female,18,walk/bicycle,,129,never,7,2,22,1162
female,19,private,electric,140,frequently,6028,3,11,1884
male,15,private,lpg,155,rarely,1669,3,1,1505
male,4,public,,171,never,1972,6,11,1252
female,10,public,,274,never,684,6,9,1360
male,20,walk/bicycle,,264,very frequently,13,4,15,3824
male,4,private,lpg,98,very frequently,8061,7,14,4580
female,24,private,lpg,252,never,2544,7,24,2833
male,14,walk/bicycle,,256,rarely,46,1,17,1131
male,9,public,,209,very frequently,62,1,24,2382
male,7,private,electric,269,frequently,4447,4,12,2649
male,17,private,diesel,113,rarely,4303,7,17,2706
male,0,private,lpg,270,very frequently,3176,5,24,3045
male,1,private,diesel,72,rarely,7255,2,0,3134
male,11,walk/bicycle,,101,very frequently,62,7,2,3619
male,20,private,petrol,196,very frequently,6254,6,21,5013
female,24,walk/bicycle,,277,very frequently,93,3,17,2443
female,7,walk/bicycle,,91,never,86,3,2,488
male,23,public,,97,rarely,357,7,4,2409
male,1,private,petrol,244,very frequently,8725,7,10,7159
male,2,public,,108,very frequently,1753,5,13,2670
female,16,walk/bicycle,,106,very frequently,45,1,19,2321
male,11,public,,103,rarely,292,5,14,1574
female,20,public,,220,very frequently,1739,6,20,2471
male,23,walk/bicycle,,287,frequently,2,6,14,2541
female,19,walk/bicycle,,123,very frequently,38,3,0,2298
male,15,public,,259,rarely,970,1,18,1445
male,16,private,lpg,172,never,8616,7,12,4240
male,11,public,,227,very frequently,635,3,4,2650
female,23,private,electric,161,never,2914,1,3,1033
male,15,walk/bicycle,,146,rarely,92,3,21,990
female,7,walk/bicycle,,151,never,67,6,13,937
female,23,private,diesel,244,frequently,6972,5,3,3483
female,17,private,petrol,193,very frequently,9812,3,5,6515
male,18,public,,255,very frequently,1057,7,8,2929
male,11,private,lpg,125,rarely,3295,1,11,2377
female,10,walk/bicycle,,52,frequently,97,1,7,1252
female,23,private,electric,252,rarely,9705,6,9,1874
female,2,private,diesel,69,rarely,3105,6,8,1579
male,11,walk/bicycle,,139,never,6,1,23,974
male,8,walk/bicycle,,242,very frequently,34,2,15,2607
male,22,public,,224,frequently,1328,2,24,2054
male,12,public,,242,never,779,7,7,1662
female,1,public,,193,rarely,913,4,5,1463
female,14,private,electric,79,rarely,5464,1,19,1143
male,20,private,diesel,222,never,3912,6,7,2790
female,20,walk/bicycle,,271,rarely,89,7,5,2629
female,5,private,hybrid,193,frequently,4359,5,15,2338
female,6,private,diesel,156,rarely,7873,7,21,3984
male,3,public,,168,rarely,374,2,20,1253
female,19,public,,175,rarely,1218,1,10,1480
female,9,walk/bicycle,,212,rarely,1,1,4,1556
male,1,public,,101,never,638,7,8,1847
female,20,private,hybrid,296,rarely,8641,4,19,2778
male,14,walk/bicycle,,66,never,46,5,14,1828
female,0,private,hybrid,210,rarely,2871,1,15,1684
female,24,public,,189,very frequently,978,1,15,3503
female,1,public,,225,very frequently,1585,1,12,2540
female,1,walk/bicycle,,139,never,92,2,11,838
female,8,private,lpg,217,very frequently,4197,4,17,3559
female,16,public,,275,frequently,199,4,15,1237
female,1,public,,81,frequently,732,4,1,1406
male,15,public,,270,frequently,584,6,5,1812
male,10,public,,219,very frequently,476,4,17,2784
female,15,public,,207,very frequently,1507,4,24,2554
male,5,private,electric,131,rarely,6915,5,0,1203
female,5,public,,56,rarely,133,4,11,1167
male,3,walk/bicycle,,184,rarely,9,1,13,1279
female,22,walk/bicycle,,250,never,34,6,5,842
male,10,private,electric,85,very frequently,9359,2,19,2654
female,4,walk/bicycle,,126,never,62,1,13,830
male,19,public,,297,rarely,1681,3,2,1624
male,7,walk/bicycle,,210,never,93,3,16,1439
male,13,walk/bicycle,,245,very frequently,56,1,11,2904
female,14,private,lpg,293,very frequently,3509,7,9,4103
female,10,walk/bicycle,,173,rarely,37,2,15,1060
male,12,private,lpg,123,very frequently,6731,2,7,4203
female,6,public,,75,rarely,1388,1,19,856
male,16,private,electric,256,frequently,159,7,4,2433
male,0,private,petrol,73,never,7976,5,5,4483
male,18,public,,273,never,1032,7,7,1661
male,7,public,,129,rarely,1351,6,5,1484
female,23,public,,65,very frequently,436,2,9,2955
female,10,private,lpg,231,rarely,4595,4,16,2590
male,1,public,,271,never,770,4,0,1166
female,20,public,,137,rarely,1632,2,13,1742
female,17,public,,54,rarely,69,5,0,1628
male,14,public,,219,never,1876,4,14,2090
male,7,public,,68,never,158,3,5,1327
female,6,public,,289,frequently,838,6,18,2673
male,17,private,diesel,76,rarely,2723,7,6,2664
female,17,public,,67,frequently,593,2,11,1239
female,22,private,petrol,296,never,4910,5,5,2991
female,9,walk/bicycle,,244,rarely,61,7,0,1688
female,6,walk/bicycle,,105,rarely,54,2,7,1563
male,23,private,diesel,275,rarely,4425,2,11,3127
male,22,walk/bicycle,,83,very frequently,85,6,0,4095
female,5,private,hybrid,162,rarely,7434,6,14,2486
male,18,private,petrol,209,frequently,7258,1,9,5082
male,22,walk/bicycle,,76,never,7,5,2,2160
male,5,walk/bicycle,,72,frequently,74,3,2,2091
male,22,walk/bicycle,,282,never,37,5,14,1696
male,22,private,electric,298,never,1170,1,15,1009
male,11,private,hybrid,170,never,6890,2,15,2134
male,0,public,,234,rarely,506,4,12,2047
male,14,walk/bicycle,,282,never,99,6,10,2190
female,24,private,electric,215,never,1695,6,22,1177
female,14,private,electric,175,frequently,5671,4,16,1814
female,19,private,electric,190,never,8553,6,6,1284
male,12,public,,73,rarely,1418,7,15,1839
female,18,public,,214,rarely,382,3,10,1026
female,6,private,lpg,127,never,5005,6,20,2600
female,10,walk/bicycle,,62,very frequently,77,4,3,2189
male,5,public,,199,rarely,194,2,17,1500
male,5,public,,256,frequently,1446,6,16,1685
female,7,walk/bicycle,,223,frequently,58,6,13,1914
female,13,private,hybrid,185,rarely,7570,2,14,2845
female,12,private,hybrid,125,rarely,8298,2,4,2152
female,21,private,electric,294,very frequently,3216,1,5,2577
female,13,private,lpg,187,rarely,9945,3,1,4220
male,2,public,,155,never,499,6,17,1199
female,16,public,,277,frequently,1426,3,4,1552
male,11,private,electric,296,very frequently,95,5,9,3294
female,1,private,diesel,213,very frequently,1467,6,7,3243
female,20,public,,269,never,1172,2,7,1675
female,3,public,,86,rarely,1212,7,6,1304
male,18,walk/bicycle,,228,very frequently,99,6,13,2878
male,14,private,hybrid,243,never,2787,2,21,1126
male,12,walk/bicycle,,276,rarely,7,3,10,1489
male,0,private,electric,292,frequently,3347,4,24,1954
female,9,public,,282,frequently,1475,7,0,1957
female,23,public,,74,very frequently,1873,7,9,3778
female,10,public,,208,very frequently,1661,2,24,2069
male,24,public,,260,frequently,774,2,6,2421
male,15,public,,294,very frequently,1043,2,5,2801
female,23,private,petrol,52,frequently,9006,4,19,5547
male,12,walk/bicycle,,229,frequently,15,2,22,2343
male,15,public,,291,never,1199,5,0,2232
female,9,walk/bicycle,,184,frequently,20,2,12,2309
male,17,private,diesel,131,rarely,4058,3,11,2233
male,7,walk/bicycle,,288,frequently,95,4,20,1419
male,13,walk/bicycle,,192,frequently,71,5,20,2087
female,22,public,,175,very frequently,1603,5,6,2829
female,4,public,,64,very frequently,1595,2,16,3057
male,1,walk/bicycle,,62,frequently,92,4,10,2337
female,5,walk/bicycle,,56,frequently,80,3,19,1651
male,6,walk/bicycle,,209,frequently,21,3,7,2214
female,19,walk/bicycle,,136,frequently,31,3,6,1402
male,12,walk/bicycle,,284,very frequently,3,2,7,2317
male,4,private,electric,276,never,2698,1,9,2027
female,19,private,electric,209,never,1580,5,2,1543
female,17,private,lpg,86,rarely,5541,3,24,2522
female,8,private,petrol,238,rarely,7014,2,1,3996
male,19,public,,79,very frequently,1122,5,10,2673
male,11,private,petrol,200,never,1644,3,3,2235
female,9,public,,214,rarely,1854,3,16,1378
male,7,walk/bicycle,,59,very frequently,72,6,4,2939
male,21,private,petrol,235,very frequently,4383,2,9,4311
female,24,walk/bicycle,,50,frequently,69,7,11,2107
female,21,private,petrol,122,never,5954,4,14,3419
male,20,private,diesel,218,rarely,9258,4,12,3713
male,18,private,electric,156,frequently,2041,1,17,1484
male,1,private,electric,289,never,2033,7,1,2517
female,9,public,,168,frequently,1958,7,19,1890
male,2,walk/bicycle,,242,frequently,58,5,10,3071
male,8,walk/bicycle,,73,frequently,92,4,15,2073
female,0,walk/bicycle,,145,very frequently,93,1,9,2233
female,16,private,electric,214,never,7926,5,19,1644
male,9,public,,117,very frequently,1988,7,15,2957
male,9,public,,118,frequently,757,4,6,2278
female,4,private,hybrid,292,rarely,8497,6,22,2813
female,6,walk/bicycle,,162,frequently,62,4,3,1983
female,24,private,petrol,209,rarely,5323,3,16,2779
male,1,walk/bicycle,,222,very frequently,17,5,22,2212
male,14,public,,181,very frequently,5,2,7,2910
female,3,public,,74,rarely,1997,1,20,1051
male,16,private,lpg,120,frequently,7153,7,6,5044
male,8,public,,163,never,1301,2,23,1595
male,19,private,lpg,264,frequently,2864,7,24,3745
male,15,private,hybrid,252,rarely,6029,3,20,3084
male,4,private,electric,68,frequently,825,7,17,2280
male,11,public,,177,very frequently,660,6,12,3669
female,2,public,,94,very frequently,967,2,17,1724
male,11,public,,247,rarely,1111,3,0,1695
male,16,public,,144,very frequently,884,4,7,2423
male,3,private,diesel,99,frequently,704,6,4,2130
female,3,private,hybrid,278,rarely,2514,5,20,2224
female,1,private,petrol,89,very frequently,3208,2,5,3058
male,14,public,,69,very frequently,1954,1,6,1994
female,24,walk/bicycle,,62,never,92,6,3,1605
male,8,public,,110,rarely,1438,4,16,1751
female,24,public,,223,frequently,1923,7,9,2405
male,17,public,,73,frequently,846,4,4,1941
female,13,walk/bicycle,,248,rarely,65,5,10,2195
female,23,walk/bicycle,,145,frequently,41,3,17,2106
male,7,public,,216,rarely,635,4,11,2516
female,0,private,hybrid,255,never,9842,4,4,2956
female,3,walk/bicycle,,54,frequently,77,1,10,1678
male,3,private,petrol,189,never,7953,7,15,4357
male,0,walk/bicycle,,216,frequently,48,3,5,2249
female,8,walk/bicycle,,273,never,86,7,11,776
male,4,walk/bicycle,,281,frequently,18,4,23,2794
female,9,walk/bicycle,,171,never,65,5,14,1939
female,6,private,hybrid,158,frequently,1844,6,4,2250
female,8,walk/bicycle,,198,rarely,91,7,16,1155
male,16,public,,270,never,1749,6,6,1203
male,16,private,lpg,224,very frequently,4397,6,23,4031
female,19,public,,186,very frequently,1008,5,13,2364
male,23,walk/bicycle,,122,very frequently,19,5,19,2446
female,15,private,lpg,158,frequently,6419,6,16,4445
female,0,walk/bicycle,,91,rarely,95,3,8,1202
female,0,walk/bicycle,,186,frequently,8,5,15,1670
female,17,private,lpg,272,very frequently,7008,4,3,5133
male,5,public,,90,very frequently,1601,7,17,2698
female,8,walk/bicycle,,232,never,0,7,18,2092
male,8,private,electric,222,rarely,1072,3,12,1086
female,14,public,,229,very frequently,695,6,13,2835
female,3,walk/bicycle,,99,rarely,42,1,21,987
male,0,private,electric,238,rarely,9316,3,8,1790
male,13,private,lpg,54,very frequently,9507,5,13,6621
male,2,public,,191,frequently,1635,7,22,1749
female,12,public,,97,very frequently,810,5,24,2721
female,17,private,diesel,161,rarely,1899,6,22,1900
male,6,public,,259,frequently,103,5,8,1756
male,15,walk/bicycle,,147,frequently,71,2,18,1449
male,1,walk/bicycle,,212,rarely,86,1,13,1400
male,10,public,,263,never,818,7,18,1441
male,11,private,lpg,206,very frequently,4809,4,13,4031
female,14,walk/bicycle,,209,rarely,92,3,11,1284
female,22,private,electric,236,frequently,3610,2,12,1733
female,12,private,electric,110,rarely,5696,4,11,1645
female,23,public,,123,never,1795,3,19,1374
female,0,walk/bicycle,,297,very frequently,98,5,1,1674
male,21,public,,159,very frequently,1895,4,22,2811
female,6,public,,165,never,1321,4,19,1007
female,15,public,,274,frequently,824,1,4,1466
male,2,public,,282,frequently,984,1,18,2173
female,10,walk/bicycle,,212,frequently,95,6,16,2420
female,3,private,electric,80,rarely,9746,5,19,1660
female,9,private,petrol,204,very frequently,3315,6,7,3973
female,21,walk/bicycle,,98,rarely,32,4,12,1387
male,23,private,petrol,130,very frequently,7885,6,6,6810
male,0,walk/bicycle,,59,frequently,51,1,14,1130
female,8,private,lpg,276,never,2916,5,21,2393
male,8,walk/bicycle,,273,never,54,5,12,2038
male,18,public,,71,never,1758,4,19,1652
female,4,public,,109,frequently,1414,4,1,1475
male,2,public,,127,never,479,5,1,1867
male,20,walk/bicycle,,281,rarely,25,1,17,1467
female,20,public,,108,rarely,575,6,15,1873
female,20,public,,268,very frequently,23,7,21,2212
male,12,public,,100,very frequently,1401,7,4,3044
male,23,public,,112,never,197,5,0,1795
male,0,public,,107,rarely,780,7,6,2059
female,13,walk/bicycle,,226,frequently,22,4,5,1681
female,14,walk/bicycle,,124,never,56,7,12,1624
female,19,public,,159,very frequently,57,6,13,2333
female,20,private,hybrid,233,very frequently,3805,2,14,3171
female,24,private,lpg,144,never,7958,6,13,3492
female,23,public,,209,never,137,4,10,1526
female,16,walk/bicycle,,118,rarely,82,3,5,1311
female,15,walk/bicycle,,290,frequently,8,7,20,2570
male,1,public,,299,frequently,298,2,21,2474
male,14,public,,99,never,308,4,13,1404
male,16,private,lpg,183,rarely,8198,2,5,4612
male,10,public,,161,very frequently,1092,2,8,2911
male,14,walk/bicycle,,54,very frequently,20,4,5,2635
female,21,walk/bicycle,,52,rarely,42,6,19,1735
female,7,public,,118,very frequently,854,5,10,3119
female,1,private,electric,120,rarely,1401,2,16,766
male,5,private,lpg,266,never,4293,6,19,2297
male,13,private,diesel,229,very frequently,5235,2,15,3670
female,17,walk/bicycle,,122,very frequently,42,6,14,2822
female,20,public,,290,very frequently,317,5,2,2486
female,18,public,,244,frequently,762,6,6,1650
male,12,walk/bicycle,,274,very frequently,26,7,21,3202
male,1,walk/bicycle,,211,rarely,99,3,19,1133
male,15,walk/bicycle,,116,very frequently,0,4,13,3289
female,15,walk/bicycle,,282,very frequently,70,5,10,2426
female,24,walk/bicycle,,53,rarely,70,7,2,2795
male,12,private,lpg,222,never,1771,3,5,1608
female,21,public,,153,very frequently,1692,6,2,2438
female,22,public,,286,never,909,6,4,1528
female,1,walk/bicycle,,76,very frequently,81,6,19,3211
female,10,private,lpg,191,frequently,8358,5,16,3941
female,0,walk/bicycle,,254,very frequently,67,4,14,2454
male,23,public,,226,frequently,1862,5,24,2198
female,5,private,lpg,266,rarely,3800,7,23,2126
female,5,public,,207,rarely,1287,5,9,1581
male,2,public,,137,frequently,1320,1,13,2153
male,22,private,lpg,95,rarely,7468,7,5,4422
female,8,public,,125,never,480,2,10,1667
male,15,public,,279,very frequently,1301,4,9,2768
female,24,walk/bicycle,,64,frequently,50,5,13,1493
female,20,public,,183,frequently,1598,2,11,1974
female,1,public,,271,frequently,963,6,1,1783
male,21,walk/bicycle,,139,very frequently,3,3,21,2380
male,10,walk/bicycle,,244,frequently,42,5,21,2324
male,24,private,lpg,159,rarely,732,7,10,2262
male,0,walk/bicycle,,189,frequently,25,4,9,2173
female,10,private,lpg,187,never,196,4,16,1662
female,17,public,,227,rarely,638,4,20,1781
male,5,walk/bicycle,,144,frequently,50,2,20,2176
male,11,walk/bicycle,,196,never,16,5,2,1731
male,5,private,hybrid,169,rarely,5393,3,13,2303
male,23,walk/bicycle,,123,never,83,5,18,2162
male,8,private,petrol,247,very frequently,7749,5,5,6069
male,16,public,,289,very frequently,860,4,18,3811
male,8,walk/bicycle,,207,never,65,2,12,1097
female,8,private,hybrid,295,very frequently,2761,3,2,2188
male,15,private,electric,299,very frequently,9445,5,12,3779
male,21,public,,57,never,64,2,9,1179
female,16,private,electric,240,never,6726,7,15,848
male,6,walk/bicycle,,240,frequently,81,2,22,2239
female,18,walk/bicycle,,82,rarely,54,4,3,1509
female,8,walk/bicycle,,214,very frequently,37,6,3,3058
male,0,walk/bicycle,,275,very frequently,18,3,18,1825
male,7,walk/bicycle,,131,never,70,7,10,2034
female,2,public,,123,very frequently,203,7,1,1997
male,10,private,diesel,190,rarely,5287,4,12,2801
female,16,walk/bicycle,,64,very frequently,52,6,9,2753
female,20,public,,276,very frequently,1934,5,12,2912
male,7,walk/bicycle,,243,never,69,2,21,1642
male,13,private,diesel,136,never,4306,5,5,2207
female,23,public,,163,rarely,840,1,1,1283
female,13,walk/bicycle,,263,never,53,5,1,1161
male,6,public,,194,very frequently,1935,3,2,2156
male,10,walk/bicycle,,108,frequently,32,3,18,1639
female,1,private,diesel,271,very frequently,555,7,18,2278
female,23,private,hybrid,91,very frequently,6898,2,10,2964
male,9,public,,243,never,1643,1,1,1183
female,15,walk/bicycle,,93,very frequently,57,7,17,2274
male,8,public,,168,rarely,1850,2,3,1544
female,17,public,,179,very frequently,1996,5,11,2404
female,0,private,diesel,246,rarely,5413,2,16,2108
female,6,walk/bicycle,,231,very frequently,6,1,16,2094
male,5,public,,198,never,1727,7,11,1967
female,15,walk/bicycle,,267,frequently,75,7,18,1750
male,2,private,petrol,81,rarely,5499,4,21,3800
female,7,private,lpg,193,never,8786,2,7,3266
male,19,public,,183,never,1531,5,12,1704
female,12,walk/bicycle,,94,never,50,7,15,1974
female,17,private,hybrid,296,rarely,5310,1,14,2288
male,10,walk/bicycle,,239,never,79,4,10,1397
female,18,public,,87,very frequently,1215,5,6,2336
male,15,private,hybrid,286,frequently,8809,5,18,3799
male,14,walk/bicycle,,117,very frequently,46,6,6,2313
female,1,private,electric,296,never,9285,6,3,1616
